merchant_id,business_category,business_age_months,qris_volume_monthly,qris_active_days,ecommerce_rating,pln_delay_days,pdam_bill_avg,pdam_late_payments,risk_level
UMKM-00035,Jasa,112,28270209,34,1.2,,157908.0,0.0,0
UMKM-00036,RETAIL,87,"Rp 23,283,342",26,2.9,0.0,114932.0,1.0,0
UMKM-00037,Fashion,94,"Rp 37,484,731",3,2.1,0.0,438608.0,2.0,1
UMKM-00038,Jasa,16,"Rp 8,818,441",9,2.5,2.0,158229.0,0.0,1
UMKM-00039,fnb,46,1628373,38,,0.0,335228.0,2.0,1
UMKM-00040,Retail,46,18410605,32,1.2,0.0,348542.0,0.0,0
UMKM-00041,Fashion,105,"Rp 9,379,482",37,2.9,0.0,147219.0,1.0,0
UMKM-00042,fnb,30,"Rp 2,157,260",7,5.0,5.0,475693.0,1.0,0
UMKM-00043,nan,67,"Rp 10,764,128",23,2.2,2.0,186272.0,1.0,0
UMKM-00044,Fashion,97,"Rp 25,639,364",38,3.9,0.0,421131.0,1.0,1
UMKM-00045,nan,109,"Rp 16,299,289",32,3.2,0.0,52039.0,0.0,0
UMKM-00046,RETAIL,13,"Rp 40,786,906",40,2.3,2.0,259687.0,1.0,2
UMKM-00047,fnb,32,"Rp 4,581,311",42,1.4,5.0,139374.0,0.0,0
UMKM-00048,Retail,64,"Rp 23,935,373",18,1.9,0.0,149611.0,0.0,1
UMKM-00049,Jasa,110,"Rp 21,561,047",1,4.1,0.0,187706.0,0.0,0
UMKM-00050,jasa,105,"Rp 33,726,850",10,,0.0,114899.0,0.0,0
UMKM-00051, F & B ,73,"Rp 39,736,622",34,,2.0,51724.0,1.0,0
UMKM-00052,F&B,51,"Rp 30,487,730",16,2.3,,399734.0,2.0,0
UMKM-00053,Retail,14,46739326,41,3.3,0.0,284066.0,0.0,0
UMKM-00054,fnb,3,29735023,2,3.8,0.0,445671.0,0.0,0
UMKM-00055,jasa,26,"Rp 13,079,806",21,2.5,0.0,425110.0,0.0,0
UMKM-00056,Retail,-2,35904525,34,3.0,0.0,296701.0,1.0,0
UMKM-00057,fnb,44,9582299,20,,0.0,384772.0,0.0,1
UMKM-00058,retail ,76,"Rp 15,958,251",24,1.0,,235519.0,0.0,0
UMKM-00059,retail ,-1,"Rp 49,466,858",38,2.6,0.0,207684.0,1.0,0
UMKM-00060,nan,14,"Rp 15,877,072",1,3.3,5.0,352600.0,0.0,0
UMKM-00061,Retail,81,"Rp 39,030,119",0,,0.0,92773.0,0.0,1
UMKM-00062,retail ,69,"Rp 10,578,672",6,4.0,15.0,,0.0,1
UMKM-00063,fnb,31,"Rp 17,387,412",19,3.7,2.0,475217.0,0.0,0
UMKM-00064,nan,16,"Rp 12,354,168",42,2.1,0.0,322730.0,0.0,0
UMKM-00065,fnb,52,"Rp 30,908,822",5,,,144479.0,1.0,0
UMKM-00066,nan,62,"Rp 29,575,571",35,2.9,0.0,125012.0,0.0,0
UMKM-00067,Retail,87,"Rp 40,309,759",20,3.9,2.0,402651.0,0.0,0
UMKM-00068,jasa,38,44946186,34,1.4,30.0,446979.0,0.0,2
UMKM-00069,Jasa,28,20369656,35,4.8,0.0,357353.0,1.0,0
UMKM-00070,Fashion,71,"Rp 33,904,824",7,3.2,2.0,467294.0,3.0,2
UMKM-00071,jasa,36,26645793,3,,15.0,370578.0,1.0,1
UMKM-00072,RETAIL,3,"Rp 32,666,377",42,3.8,,347800.0,1.0,0
UMKM-00073,fnb,100,"Rp 37,046,153",15,1.2,5.0,496811.0,1.0,0
UMKM-00074,RETAIL,89,"Rp 18,459,562",2,2.9,0.0,447222.0,0.0,1
UMKM-00075,jasa,1,"Rp 27,170,235",6,2.9,2.0,329614.0,0.0,1
UMKM-00076,nan,62,"Rp 25,091,077",1,,5.0,122035.0,0.0,0
UMKM-00077,Fashion,13,39549859,0,4.3,2.0,411752.0,0.0,2
UMKM-00078,Fashion,100,"Rp 3,931,659",0,4.2,30.0,126840.0,0.0,2
UMKM-00079,F&B,88,"Rp 34,753,974",37,1.6,0.0,407915.0,1.0,0
UMKM-00080,Fashion,25,"Rp 44,663,382",6,2.5,0.0,,0.0,0
UMKM-00081,Jasa,29,"Rp 38,038,234",23,1.4,2.0,460614.0,4.0,0
UMKM-00082,Fashion,51,44893540,4,4.4,,357476.0,3.0,0
UMKM-00083,jasa,79,22864581,20,2.3,0.0,432680.0,4.0,1
UMKM-00084,F&B,55,5084032,27,2.8,,,0.0,0
UMKM-00085,jasa,25,"Rp 35,777,477",17,,,,3.0,1
UMKM-00086,jasa,77,"Rp 42,849,877",23,2.2,,485302.0,2.0,0
UMKM-00087, F & B ,89,"Rp 29,070,760",31,4.0,,469722.0,3.0,0
UMKM-00088,F&B,47,"Rp 4,554,382",44,4.0,30.0,180194.0,1.0,0
UMKM-00089,jasa,26,"Rp 8,297,881",32,3.1,15.0,158618.0,2.0,2
UMKM-00090, F & B ,60,"Rp 29,854,322",9,3.6,2.0,415568.0,0.0,0
UMKM-00091, F & B ,53,38912279,8,3.0,0.0,276772.0,0.0,0
UMKM-00092,F&B,110,17562351,32,1.1,0.0,145596.0,0.0,0
UMKM-00093,RETAIL,4,"Rp 39,120,293",32,1.3,0.0,363164.0,3.0,1
UMKM-00094,nan,-4,"Rp 1,499,964",6,2.5,0.0,195057.0,0.0,1
UMKM-00095,Jasa,60,"Rp 49,288,709",3,4.0,0.0,414560.0,0.0,2
UMKM-00096,nan,54,"Rp 3,997,493",27,4.7,,264525.0,4.0,1
UMKM-00097,Fashion,82,"Rp 42,133,161",22,1.1,2.0,434754.0,0.0,0
UMKM-00098,Jasa,11,7638784,31,2.5,0.0,444678.0,3.0,0
UMKM-00099,Fashion,90,26171259,43,1.9,5.0,74082.0,2.0,0
UMKM-00100,jasa,10,"Rp 17,916,781",15,4.3,0.0,445081.0,0.0,0
UMKM-00101,fnb,10,"Rp 20,720,121",9,4.4,0.0,348921.0,0.0,0
UMKM-00102,F&B,40,48057611,13,1.8,30.0,192394.0,1.0,2
UMKM-00103,Jasa,33,37982693,38,3.8,0.0,208834.0,,0
UMKM-00104,Jasa,111,24100170,35,3.9,2.0,326682.0,3.0,0
UMKM-00105,jasa,25,"Rp 9,190,219",33,1.7,0.0,369269.0,0.0,0
UMKM-00106,RETAIL,101,"Rp 39,636,713",23,2.7,2.0,254318.0,0.0,0
UMKM-00107, F & B ,82,39308849,17,3.5,15.0,311313.0,0.0,0
UMKM-00108,jasa,-5,3627014,15,,0.0,140583.0,2.0,2
UMKM-00109,retail ,5,25772234,40,,,446393.0,0.0,0
UMKM-00110, F & B ,113,"Rp 23,713,635",36,1.6,0.0,77502.0,0.0,0
UMKM-00111,F&B,79,11528542,40,3.2,2.0,442132.0,2.0,2
UMKM-00112, F & B ,-2,"Rp 41,867,616",24,4.4,,331393.0,0.0,0
UMKM-00113,RETAIL,65,35002060,7,3.1,,53197.0,0.0,0
UMKM-00114, F & B ,20,39857873,23,1.1,0.0,85229.0,2.0,1
UMKM-00115,F&B,105,"Rp 45,510,632",19,1.1,0.0,336310.0,1.0,0
UMKM-00116,RETAIL,44,"Rp 30,225,143",29,3.4,5.0,451908.0,0.0,0
UMKM-00117,nan,6,43407575,19,2.3,0.0,156298.0,1.0,2
UMKM-00118,Jasa,89,"Rp 15,123,720",17,3.3,0.0,,1.0,1
UMKM-00119,Jasa,75,"Rp 3,648,191",3,,5.0,344800.0,1.0,0
UMKM-00120,Fashion,91,"Rp 2,348,894",35,4.1,2.0,50606.0,3.0,0
UMKM-00121,nan,69,"Rp 40,706,422",5,4.4,0.0,369425.0,1.0,0
UMKM-00122,nan,86,"Rp 26,222,396",2,4.6,0.0,319519.0,1.0,1
UMKM-00123, F & B ,90,"Rp 32,256,552",17,2.2,,180708.0,1.0,0
UMKM-00124,Jasa,59,4550985,39,3.6,2.0,439469.0,1.0,0
UMKM-00125,F&B,41,"Rp 25,938,881",17,2.1,5.0,50819.0,0.0,0
UMKM-00126,Retail,86,"Rp 28,299,045",22,4.1,0.0,126992.0,0.0,0
UMKM-00127,Retail,47,35291982,34,1.5,0.0,212445.0,1.0,0
UMKM-00128,RETAIL,100,36353386,5,4.1,0.0,443999.0,0.0,0
UMKM-00129,Jasa,65,44903390,25,2.8,2.0,494214.0,0.0,0
UMKM-00130,Jasa,-4,"Rp 43,725,573",20,,0.0,57560.0,2.0,1
UMKM-00131,Retail,100,"Rp 18,706,306",23,4.0,2.0,341312.0,0.0,0
UMKM-00132,Jasa,18,"Rp 9,776,510",14,2.5,5.0,205336.0,1.0,0
UMKM-00133, F & B ,-2,19677518,26,4.6,5.0,438769.0,0.0,0
UMKM-00134,retail ,102,"Rp 35,239,091",31,2.1,0.0,411580.0,0.0,0
UMKM-00135,fnb,13,"Rp 25,207,963",11,4.9,5.0,306928.0,0.0,0
UMKM-00136,nan,20,"Rp 25,188,041",4,4.1,2.0,257317.0,0.0,0
UMKM-00137,Fashion,69,"Rp 9,828,325",6,5.0,0.0,128598.0,0.0,0
UMKM-00138,RETAIL,34,"Rp 7,927,416",21,1.2,0.0,490017.0,0.0,0
UMKM-00139,retail ,44,"Rp 39,939,633",26,2.1,2.0,125924.0,0.0,0
UMKM-00140,Retail,37,"Rp 46,733,958",14,4.0,0.0,228431.0,1.0,0
UMKM-00141,nan,69,"Rp 46,110,158",38,,0.0,209108.0,0.0,0
UMKM-00142,Jasa,103,"Rp 25,137,617",44,1.1,0.0,,2.0,2
UMKM-00143,Fashion,61,"Rp 3,241,105",34,,0.0,366858.0,1.0,0
UMKM-00144,Jasa,6,35874739,25,2.0,,342688.0,0.0,0
UMKM-00145,F&B,61,11710632,22,,5.0,311305.0,0.0,1
UMKM-00146,F&B,100,28730519,12,4.1,2.0,332967.0,0.0,0
UMKM-00147,Fashion,21,"Rp 31,253,569",25,2.4,,230900.0,4.0,1
UMKM-00148,Fashion,107,"Rp 22,452,647",2,1.0,2.0,416699.0,3.0,1
UMKM-00149,Retail,48,32938643,28,3.2,5.0,329122.0,0.0,1
UMKM-00150,Fashion,60,24831594,1,,0.0,209532.0,1.0,0
UMKM-00151, F & B ,43,"Rp 6,119,641",27,4.0,2.0,487327.0,4.0,0
UMKM-00152,Jasa,10,"Rp 40,308,102",22,2.8,0.0,446540.0,2.0,1
UMKM-00153,retail ,-4,"Rp 35,650,021",35,,0.0,269160.0,0.0,0
UMKM-00154,jasa,54,"Rp 14,224,541",5,4.4,0.0,498794.0,0.0,0
UMKM-00155,Fashion,48,"Rp 43,857,257",10,3.1,0.0,172418.0,0.0,0
UMKM-00156,RETAIL,24,"Rp 46,807,748",37,,0.0,184006.0,2.0,0
UMKM-00157,F&B,78,"Rp 43,021,153",33,,0.0,55033.0,2.0,0
UMKM-00158, F & B ,32,19699008,16,2.1,15.0,417211.0,1.0,0
UMKM-00159,nan,22,"Rp 13,750,721",2,4.6,0.0,187158.0,0.0,0
UMKM-00160,jasa,19,"Rp 13,390,870",43,1.3,15.0,480317.0,4.0,2
UMKM-00161,retail ,90,"Rp 39,144,148",33,4.3,2.0,225017.0,2.0,0
UMKM-00162,jasa,119,"Rp 30,159,511",21,,2.0,68894.0,0.0,0
UMKM-00163,Fashion,4,"Rp 45,432,707",28,1.2,0.0,242185.0,0.0,1
UMKM-00164,Retail,54,17646014,28,2.5,,54687.0,1.0,0
UMKM-00165,F&B,36,"Rp 47,233,995",4,4.8,0.0,446103.0,0.0,0
UMKM-00166,F&B,34,44238165,9,4.9,2.0,184115.0,0.0,0
UMKM-00167,nan,91,17862611,9,1.8,2.0,461231.0,0.0,0
UMKM-00168,Retail,71,49770129,8,1.6,0.0,329933.0,4.0,1
UMKM-00169,Jasa,114,"Rp 23,840,605",20,2.4,0.0,106784.0,2.0,1
UMKM-00170,fnb,99,"Rp 9,061,792",12,,0.0,318259.0,0.0,1
UMKM-00171, F & B ,112,"Rp 25,653,591",9,4.0,30.0,78821.0,3.0,0
UMKM-00172,F&B,36,"Rp 47,503,181",37,2.8,15.0,72879.0,1.0,2
UMKM-00173,RETAIL,41,"Rp 45,641,994",10,4.1,,429321.0,0.0,0
UMKM-00174,F&B,31,"Rp 4,235,863",3,4.0,0.0,234714.0,3.0,1
UMKM-00175,jasa,112,"Rp 11,783,675",30,3.3,0.0,241852.0,1.0,1
UMKM-00176,F&B,74,"Rp 29,817,246",33,4.3,0.0,99157.0,2.0,0
UMKM-00177,F&B,103,"Rp 38,937,462",41,1.8,,298341.0,0.0,0
UMKM-00178,fnb,16,"Rp 38,723,927",34,1.6,0.0,213789.0,1.0,1
UMKM-00179,fnb,51,"Rp 33,353,996",38,4.0,0.0,110262.0,0.0,0
UMKM-00180,retail ,78,"Rp 14,748,887",38,2.0,,90971.0,0.0,0
UMKM-00181,Jasa,108,37167193,32,1.0,2.0,413290.0,1.0,0
UMKM-00182,RETAIL,101,48366565,7,4.6,2.0,252112.0,4.0,0
UMKM-00183,F&B,21,"Rp 4,275,072",31,3.5,0.0,171535.0,1.0,0
UMKM-00184,F&B,35,"Rp 11,074,698",32,2.8,0.0,255257.0,0.0,0
UMKM-00185, F & B ,74,22595058,7,3.9,,142384.0,0.0,1
UMKM-00186,fnb,28,"Rp 9,676,514",13,2.3,2.0,244895.0,3.0,1
UMKM-00187,RETAIL,26,6932572,33,4.8,0.0,467958.0,0.0,0
UMKM-00188,nan,84,"Rp 29,482,724",7,1.3,0.0,162453.0,0.0,0
UMKM-00189,retail ,83,"Rp 3,145,977",41,3.6,0.0,412421.0,2.0,2
UMKM-00190,Jasa,60,"Rp 45,054,069",6,,2.0,338664.0,4.0,2
UMKM-00191,Retail,6,3226217,12,2.9,0.0,326977.0,2.0,1
UMKM-00192,Jasa,34,35187163,20,,2.0,232419.0,0.0,0
UMKM-00193,jasa,67,"Rp 43,304,796",31,4.7,2.0,111475.0,0.0,0
UMKM-00194,F&B,70,21038018,10,4.0,5.0,320287.0,2.0,0
UMKM-00195,retail ,84,"Rp 44,964,403",13,2.2,0.0,401616.0,3.0,2
UMKM-00196,jasa,67,"Rp 9,905,865",10,,5.0,414276.0,,1
UMKM-00197,RETAIL,4,39145210,1,4.6,2.0,137005.0,1.0,0
UMKM-00198,Retail,90,27466281,33,2.8,0.0,360682.0,2.0,1
UMKM-00199,fnb,115,"Rp 39,703,819",43,,,113795.0,0.0,0
UMKM-00200,retail ,92,23174126,16,2.9,0.0,415185.0,0.0,0
UMKM-00201,retail ,42,10869865,13,1.5,2.0,132159.0,0.0,0
UMKM-00202,F&B,14,"Rp 28,217,757",24,1.2,0.0,173796.0,4.0,1
UMKM-00203,Fashion,33,"Rp 12,287,967",26,,2.0,389310.0,0.0,0
UMKM-00204,retail ,54,"Rp 28,952,543",7,,2.0,,0.0,0
UMKM-00205, F & B ,60,4561497,16,,0.0,208312.0,4.0,1
UMKM-00206,Retail,59,"Rp 25,096,114",4,4.4,2.0,151542.0,0.0,0
UMKM-00207,Retail,45,"Rp 3,870,524",11,3.1,2.0,50553.0,0.0,0
UMKM-00208, F & B ,118,"Rp 33,145,513",37,4.1,5.0,467734.0,2.0,1
UMKM-00209,nan,30,"Rp 33,848,720",17,1.5,0.0,158381.0,2.0,0
UMKM-00210, F & B ,18,"Rp 38,421,725",25,4.6,0.0,325756.0,0.0,0
UMKM-00211, F & B ,112,"Rp 40,661,943",30,3.4,2.0,388817.0,4.0,1
UMKM-00212,Retail,21,48342310,36,4.0,0.0,114459.0,0.0,0
UMKM-00213,Jasa,-4,"Rp 17,810,950",5,1.1,2.0,337948.0,3.0,1
UMKM-00214,Retail,25,"Rp 17,990,515",40,2.3,0.0,,2.0,1
UMKM-00215,Fashion,51,"Rp 37,325,466",14,,0.0,221178.0,0.0,1
UMKM-00216,F&B,72,26308552,41,4.8,15.0,279113.0,2.0,1
UMKM-00217,jasa,60,1671253,25,1.7,5.0,422327.0,0.0,0
UMKM-00218,Jasa,23,"Rp 27,719,009",11,3.8,2.0,236218.0,0.0,0
UMKM-00219,fnb,9,"Rp 33,260,205",40,1.2,30.0,190689.0,3.0,2
UMKM-00220,jasa,6,"Rp 24,465,520",13,1.8,5.0,196470.0,0.0,1
UMKM-00221,F&B,95,7911616,0,2.4,2.0,307771.0,0.0,1
UMKM-00222,Fashion,22,35560584,16,,,,0.0,0
UMKM-00223,Fashion,78,"Rp 7,615,379",32,4.2,2.0,80971.0,0.0,0
UMKM-00224,fnb,119,"Rp 44,660,242",28,4.8,2.0,438777.0,3.0,0
UMKM-00225,Jasa,97,"Rp 23,403,427",44,4.7,0.0,248579.0,3.0,0
UMKM-00226,nan,18,"Rp 37,816,763",30,1.3,,235626.0,0.0,0
UMKM-00227, F & B ,15,"Rp 48,727,148",7,4.3,0.0,392222.0,0.0,0
UMKM-00228,Jasa,4,"Rp 21,602,307",29,2.8,0.0,386371.0,1.0,2
UMKM-00229,nan,104,"Rp 6,015,551",12,4.5,0.0,391134.0,0.0,0
UMKM-00230,Fashion,72,"Rp 25,803,477",15,1.4,0.0,398178.0,0.0,0
UMKM-00231,Retail,95,"Rp 49,294,603",1,4.3,0.0,135567.0,0.0,0
UMKM-00232,F&B,12,24413609,44,,15.0,352821.0,0.0,1
UMKM-00233,fnb,82,"Rp 39,041,288",17,2.3,2.0,380546.0,1.0,0
UMKM-00234,F&B,8,49167634,34,1.1,0.0,230910.0,4.0,2
UMKM-00235,RETAIL,28,"Rp 10,583,663",44,1.5,5.0,148104.0,2.0,2
UMKM-00236,RETAIL,52,"Rp 2,208,957",18,2.8,2.0,72291.0,2.0,1
UMKM-00237,Jasa,70,40786734,12,4.3,2.0,340641.0,0.0,0
UMKM-00238,Fashion,16,"Rp 43,719,684",3,4.1,0.0,427279.0,3.0,0
UMKM-00239,Fashion,114,29529536,18,,30.0,344113.0,4.0,2
UMKM-00240, F & B ,64,"Rp 49,785,397",24,1.6,0.0,289334.0,4.0,1
UMKM-00241, F & B ,30,"Rp 25,885,412",37,,0.0,223156.0,0.0,0
UMKM-00242, F & B ,39,17780412,30,4.5,0.0,459893.0,1.0,0
UMKM-00243,Retail,30,"Rp 10,938,256",35,1.4,5.0,80245.0,1.0,1
UMKM-00244,jasa,16,23907093,3,3.2,2.0,103312.0,0.0,0
UMKM-00245,retail ,72,40660093,38,1.4,0.0,216386.0,,0
UMKM-00246,jasa,74,"Rp 8,142,727",6,2.9,0.0,58267.0,0.0,0
UMKM-00247,F&B,55,"Rp 13,067,196",15,1.5,2.0,89812.0,0.0,0
UMKM-00248,jasa,94,37158112,4,1.3,2.0,446991.0,0.0,0
UMKM-00249,Retail,50,"Rp 45,610,333",22,1.8,0.0,437706.0,0.0,0
UMKM-00250,F&B,83,"Rp 23,986,990",35,2.0,15.0,389068.0,3.0,1
UMKM-00251,jasa,90,"Rp 28,950,611",31,2.1,,256874.0,0.0,0
UMKM-00252,Retail,27,18636027,23,,0.0,244150.0,0.0,0
UMKM-00253,retail ,39,"Rp 21,841,553",24,,2.0,75875.0,1.0,0
UMKM-00254,jasa,30,"Rp 48,301,994",44,1.3,0.0,145803.0,0.0,0
UMKM-00255,Retail,14,"Rp 45,607,689",27,1.8,5.0,306679.0,2.0,0
UMKM-00256, F & B ,12,"Rp 4,636,119",18,4.5,0.0,359733.0,2.0,0
UMKM-00257,Fashion,32,"Rp 21,334,211",6,,0.0,315678.0,0.0,1
UMKM-00258, F & B ,61,36221540,43,3.9,5.0,220952.0,4.0,1
UMKM-00259,Fashion,17,"Rp 3,853,507",40,2.5,15.0,461299.0,1.0,2
UMKM-00260,fnb,90,"Rp 25,370,764",16,1.9,0.0,111807.0,1.0,0
UMKM-00261,fnb,103,"Rp 27,947,160",1,1.2,0.0,363814.0,3.0,2
UMKM-00262,fnb,117,"Rp 26,790,412",15,3.0,0.0,387609.0,1.0,0
UMKM-00263,retail ,10,"Rp 17,450,961",38,3.3,2.0,366864.0,0.0,0
UMKM-00264, F & B ,53,"Rp 17,105,466",17,4.6,5.0,223962.0,0.0,0
UMKM-00265,Fashion,63,"Rp 19,931,543",38,4.5,2.0,482816.0,2.0,2
UMKM-00266,Retail,62,5070081,0,2.7,2.0,222401.0,4.0,2
UMKM-00267,F&B,15,"Rp 10,538,735",2,2.7,5.0,409763.0,0.0,1
UMKM-00268,Retail,98,"Rp 17,614,866",20,,2.0,,0.0,0
UMKM-00269,F&B,109,"Rp 38,471,432",29,,2.0,463973.0,1.0,0
UMKM-00270,RETAIL,72,"Rp 34,016,347",10,,2.0,345251.0,2.0,0
UMKM-00271,Retail,97,"Rp 11,603,512",21,1.6,30.0,446078.0,0.0,2
UMKM-00272,jasa,89,"Rp 42,727,974",24,4.9,0.0,132533.0,3.0,0
UMKM-00273,jasa,72,"Rp 36,905,148",2,3.0,0.0,67487.0,3.0,1
UMKM-00274,Jasa,64,"Rp 13,876,169",29,,0.0,340497.0,1.0,1
UMKM-00275, F & B ,6,"Rp 44,762,496",23,,15.0,58984.0,0.0,1
UMKM-00276,F&B,10,"Rp 31,948,393",44,3.6,0.0,335274.0,1.0,0
UMKM-00277,F&B,75,32339092,35,2.8,0.0,123794.0,0.0,0
UMKM-00278, F & B ,103,37323086,22,,,218351.0,1.0,0
UMKM-00279,retail ,81,"Rp 8,061,944",7,2.1,,90080.0,0.0,0
UMKM-00280,Jasa,8,27548036,3,1.3,,324983.0,1.0,1
UMKM-00281,retail ,55,"Rp 27,424,936",38,,0.0,274979.0,0.0,0
UMKM-00282,retail ,65,21653561,42,2.3,30.0,235629.0,2.0,2
UMKM-00283,retail ,40,"Rp 48,262,613",30,3.8,0.0,411018.0,2.0,0
UMKM-00284, F & B ,26,12569471,28,3.9,0.0,353643.0,,0
UMKM-00285,retail ,9,"Rp 32,922,728",35,2.3,0.0,442238.0,0.0,1
UMKM-00286,jasa,38,"Rp 40,611,606",12,3.7,2.0,448572.0,0.0,0
UMKM-00287,fnb,11,"Rp 36,787,846",40,,0.0,132036.0,0.0,0
UMKM-00288,RETAIL,35,"Rp 11,031,671",8,3.9,2.0,388070.0,0.0,0
UMKM-00289,F&B,48,"Rp 7,134,678",20,,15.0,341922.0,0.0,0
UMKM-00290,F&B,105,"Rp 42,947,371",2,1.6,0.0,155528.0,1.0,1
UMKM-00291,RETAIL,38,16911898,24,2.0,0.0,375336.0,1.0,1
UMKM-00292, F & B ,92,"Rp 38,531,240",24,4.1,0.0,233255.0,0.0,0
UMKM-00293,Retail,-1,"Rp 25,407,941",11,1.3,,135376.0,0.0,1
UMKM-00294, F & B ,103,"Rp 43,155,894",28,,0.0,178219.0,1.0,0
UMKM-00295,F&B,21,39298785,10,2.4,0.0,79980.0,0.0,0
UMKM-00296,F&B,110,"Rp 25,037,435",10,1.0,0.0,216891.0,3.0,1
UMKM-00297,RETAIL,81,3956156,25,4.0,30.0,64065.0,0.0,1
UMKM-00298,retail ,98,"Rp 20,058,912",13,3.2,0.0,437505.0,0.0,0
UMKM-00299, F & B ,117,"Rp 16,030,066",15,,0.0,322703.0,0.0,0
UMKM-00300,Fashion,72,35687675,9,,0.0,174514.0,0.0,0
UMKM-00301,RETAIL,73,"Rp 34,559,109",30,2.1,30.0,123969.0,3.0,2
UMKM-00302,jasa,37,"Rp 9,593,188",30,,0.0,189728.0,0.0,0
UMKM-00303,F&B,91,"Rp 17,907,550",35,,2.0,93210.0,2.0,0
UMKM-00304,RETAIL,111,17202721,9,2.0,0.0,243060.0,0.0,0
UMKM-00305, F & B ,25,"Rp 28,217,933",25,,,81477.0,1.0,1
UMKM-00306,F&B,93,20286179,19,4.2,2.0,156111.0,3.0,1
UMKM-00307,Retail,11,"Rp 6,827,316",43,1.1,2.0,79529.0,2.0,2
UMKM-00308,RETAIL,86,"Rp 28,047,758",8,3.9,0.0,330406.0,0.0,0
UMKM-00309,Jasa,77,"Rp 1,558,745",14,2.0,0.0,377231.0,2.0,1
UMKM-00310,F&B,104,26732643,8,4.8,0.0,218721.0,0.0,0
UMKM-00311, F & B ,48,"Rp 15,884,399",6,3.2,2.0,497004.0,0.0,1
UMKM-00312,fnb,56,49701012,25,1.1,,101686.0,1.0,1
UMKM-00313,Fashion,81,"Rp 46,741,083",23,2.6,0.0,223937.0,4.0,1
UMKM-00314,nan,26,43137283,11,4.9,30.0,479793.0,0.0,1
UMKM-00315,retail ,34,"Rp 48,698,365",19,3.9,0.0,386443.0,2.0,0
UMKM-00316,nan,7,13840143,13,2.2,,268597.0,0.0,0
UMKM-00317, F & B ,117,37425173,21,3.3,0.0,270725.0,0.0,1
UMKM-00318,jasa,78,42464523,15,3.4,0.0,245399.0,3.0,0
UMKM-00319,jasa,29,"Rp 35,171,855",28,1.1,0.0,241124.0,1.0,0
UMKM-00320,fnb,-1,43533682,31,1.7,5.0,425188.0,0.0,1
