merchant_id,business_age_months,qris_volume_monthly,qris_active_days,ecommerce_rating,pln_delay_days,pdam_bill_avg,pdam_late_payments,risk_level,pln_delay_days_isna,ecommerce_rating_isna,pdam_bill_avg_isna,pdam_late_payments_isna,business_category_fnb,business_category_jasa,business_category_nan,business_category_retail,qris_active_ratio,pln_delay_ratio,volume_to_age_ratio,chronic_pln_delay,has_both_utilities
UMKM-00032,7,29814808,8,4.4,0.0,69744.0,3.0,1,0,0,0,0,1,0,0,0,0.26666666666666666,0.0,3726851.0,0,1
UMKM-00033,37,26176338,4,3.0,0.0,334190.0,1.0,1,0,1,0,0,0,0,0,1,0.13333333333333333,0.0,688851.0,0,1
UMKM-00034,56,19921824,10,3.6,0.0,393509.0,3.0,2,0,0,0,0,1,0,0,0,0.3333333333333333,0.0,349505.6842105263,0,1
UMKM-00036,87,23283342,26,2.9,0.0,114932.0,1.0,0,0,0,0,0,0,0,0,1,0.8666666666666667,0.0,264583.4318181818,0,1
UMKM-00037,94,37484731,3,2.1,0.0,438608.0,2.0,1,0,0,0,0,0,0,0,0,0.1,0.0,394576.1157894737,0,1
UMKM-00038,16,8818441,9,2.5,2.0,158229.0,0.0,1,0,0,0,0,0,1,0,0,0.3,0.11764705882352941,518731.82352941175,0,1
UMKM-00042,30,2157260,7,5.0,5.0,475693.0,1.0,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.16129032258064516,69589.03225806452,0,1
UMKM-00043,67,10764128,23,2.2,2.0,186272.0,1.0,0,0,0,0,0,0,0,1,0,0.7666666666666667,0.029411764705882353,158296.0,0,1
UMKM-00048,64,23935373,18,1.9,0.0,149611.0,0.0,1,0,0,0,0,0,0,0,1,0.6,0.0,368236.5076923077,0,1
UMKM-00049,110,21561047,1,4.1,0.0,187706.0,0.0,0,0,0,0,0,0,1,0,0,0.03333333333333333,0.0,194243.66666666666,0,1
UMKM-00050,105,33726850,10,3.0,0.0,114899.0,0.0,0,0,1,0,0,0,1,0,0,0.3333333333333333,0.0,318177.8301886792,0,1
UMKM-00052,51,30487730,16,2.3,0.0,399734.0,2.0,0,1,0,0,0,1,0,0,0,0.5333333333333333,0.0,586302.5,0,0
UMKM-00054,3,29735023,2,3.8,0.0,445671.0,0.0,0,0,0,0,0,1,0,0,0,0.06666666666666667,0.0,7433755.75,0,1
UMKM-00055,26,13079806,21,2.5,0.0,425110.0,0.0,0,0,0,0,0,0,1,0,0,0.7,0.0,484437.25925925927,0,1
UMKM-00057,44,9582299,20,3.0,0.0,384772.0,0.0,1,0,1,0,0,1,0,0,0,0.6666666666666666,0.0,212939.97777777776,0,1
UMKM-00058,76,15958251,24,1.0,0.0,235519.0,0.0,0,1,0,0,0,0,0,0,1,0.8,0.0,207250.01298701297,0,0
UMKM-00060,14,15877072,1,3.3,5.0,352600.0,0.0,0,0,0,0,0,0,0,1,0,0.03333333333333333,0.3333333333333333,1058471.4666666666,0,1
UMKM-00061,81,39030119,0,3.0,0.0,92773.0,0.0,1,0,1,0,0,0,0,0,1,0.0,0.0,475977.06097560975,0,1
UMKM-00062,69,10578672,6,4.0,15.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0.2,0.21428571428571427,151123.88571428572,1,0
UMKM-00063,31,17387412,19,3.7,2.0,475217.0,0.0,0,0,0,0,0,1,0,0,0,0.6333333333333333,0.0625,543356.625,0,1
UMKM-00065,52,30908822,5,3.0,0.0,144479.0,1.0,0,1,1,0,0,1,0,0,0,0.16666666666666666,0.0,583185.320754717,0,0
UMKM-00067,87,40309759,20,3.9,2.0,402651.0,0.0,0,0,0,0,0,0,0,0,1,0.6666666666666666,0.022727272727272728,458065.4431818182,0,1
UMKM-00070,71,33904824,7,3.2,2.0,467294.0,3.0,2,0,0,0,0,0,0,0,0,0.23333333333333334,0.027777777777777776,470900.3333333333,0,1
UMKM-00071,36,26645793,3,3.0,15.0,370578.0,1.0,1,0,1,0,0,0,1,0,0,0.1,0.40540540540540543,720156.5675675676,1,1
UMKM-00073,100,37046153,15,1.2,5.0,496811.0,1.0,0,0,0,0,0,1,0,0,0,0.5,0.04950495049504951,366793.59405940596,0,1
UMKM-00074,89,18459562,2,2.9,0.0,447222.0,0.0,1,0,0,0,0,0,0,0,1,0.06666666666666667,0.0,205106.24444444446,0,1
UMKM-00075,1,27170235,6,2.9,2.0,329614.0,0.0,1,0,0,0,0,0,1,0,0,0.2,1.0,13585117.5,0,1
UMKM-00076,62,25091077,1,3.0,5.0,122035.0,0.0,0,0,1,0,0,0,0,1,0,0.03333333333333333,0.07936507936507936,398271.0634920635,0,1
UMKM-00077,13,39549859,0,4.3,2.0,411752.0,0.0,2,0,0,0,0,0,0,0,0,0.0,0.14285714285714285,2824989.9285714286,0,1
UMKM-00078,100,3931659,0,4.2,30.0,126840.0,0.0,2,0,0,0,0,0,0,0,0,0.0,0.297029702970297,38927.316831683165,1,1
UMKM-00080,25,44663382,6,2.5,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.2,0.0,1717822.3846153845,0,0
UMKM-00081,29,38038234,23,1.4,2.0,460614.0,4.0,0,0,0,0,0,0,1,0,0,0.7666666666666667,0.06666666666666667,1267941.1333333333,0,1
UMKM-00082,51,44893540,4,4.4,0.0,357476.0,3.0,0,1,0,0,0,0,0,0,0,0.13333333333333333,0.0,863337.3076923077,0,0
UMKM-00083,79,22864581,20,2.3,0.0,432680.0,4.0,1,0,0,0,0,0,1,0,0,0.6666666666666666,0.0,285807.2625,0,1
UMKM-00084,55,5084032,27,2.8,0.0,0.0,0.0,0,1,0,1,0,1,0,0,0,0.9,0.0,90786.28571428571,0,0
UMKM-00085,25,35777477,17,3.0,0.0,0.0,3.0,1,1,1,1,0,0,1,0,0,0.5666666666666667,0.0,1376056.8076923077,0,0
UMKM-00086,77,42849877,23,2.2,0.0,485302.0,2.0,0,1,0,0,0,0,1,0,0,0.7666666666666667,0.0,549357.3974358974,0,0
UMKM-00087,89,29070760,31,4.0,0.0,469722.0,3.0,0,1,0,0,0,1,0,0,0,1.0333333333333334,0.0,323008.44444444444,0,0
UMKM-00090,60,29854322,9,3.6,2.0,415568.0,0.0,0,0,0,0,0,1,0,0,0,0.3,0.03278688524590164,489415.11475409835,0,1
UMKM-00091,53,38912279,8,3.0,0.0,276772.0,0.0,0,0,0,0,0,1,0,0,0,0.26666666666666666,0.0,720597.7592592592,0,1
UMKM-00095,60,49288709,3,4.0,0.0,414560.0,0.0,2,0,0,0,0,0,1,0,0,0.1,0.0,808011.6229508197,0,1
UMKM-00096,54,3997493,27,4.7,0.0,264525.0,4.0,1,1,0,0,0,0,0,1,0,0.9,0.0,72681.6909090909,0,0
UMKM-00097,82,42133161,22,1.1,2.0,434754.0,0.0,0,0,0,0,0,0,0,0,0,0.7333333333333333,0.024096385542168676,507628.4457831325,0,1
UMKM-00098,11,7638784,31,2.5,0.0,444678.0,3.0,0,0,0,0,0,0,1,0,0,1.0333333333333334,0.0,636565.3333333334,0,1
UMKM-00100,10,17916781,15,4.3,0.0,445081.0,0.0,0,0,0,0,0,0,1,0,0,0.5,0.0,1628798.2727272727,0,1
UMKM-00101,10,20720121,9,4.4,0.0,348921.0,0.0,0,0,0,0,0,1,0,0,0,0.3,0.0,1883647.3636363635,0,1
UMKM-00102,40,48057611,13,1.8,30.0,192394.0,1.0,2,0,0,0,0,1,0,0,0,0.43333333333333335,0.7317073170731707,1172136.8536585367,1,1
UMKM-00106,101,39636713,23,2.7,2.0,254318.0,0.0,0,0,0,0,0,0,0,0,1,0.7666666666666667,0.0196078431372549,388595.2254901961,0,1
UMKM-00107,82,39308849,17,3.5,15.0,311313.0,0.0,0,0,0,0,0,1,0,0,0,0.5666666666666667,0.18072289156626506,473600.5903614458,1,1
UMKM-00113,65,35002060,7,3.1,0.0,53197.0,0.0,0,1,0,0,0,0,0,0,1,0.23333333333333334,0.0,530334.2424242424,0,0
UMKM-00114,20,39857873,23,1.1,0.0,85229.0,2.0,1,0,0,0,0,1,0,0,0,0.7666666666666667,0.0,1897993.9523809524,0,1
UMKM-00115,105,45510632,19,1.1,0.0,336310.0,1.0,0,0,0,0,0,1,0,0,0,0.6333333333333333,0.0,429345.58490566036,0,1
UMKM-00116,44,30225143,29,3.4,5.0,451908.0,0.0,0,0,0,0,0,0,0,0,1,0.9666666666666667,0.1111111111111111,671669.8444444444,0,1
UMKM-00117,6,43407575,19,2.3,0.0,156298.0,1.0,2,0,0,0,0,0,0,1,0,0.6333333333333333,0.0,6201082.142857143,0,1
UMKM-00118,89,15123720,17,3.3,0.0,0.0,1.0,1,0,0,1,0,0,1,0,0,0.5666666666666667,0.0,168041.33333333334,0,0
UMKM-00119,75,3648191,3,3.0,5.0,344800.0,1.0,0,0,1,0,0,0,1,0,0,0.1,0.06578947368421052,48002.51315789474,0,1
UMKM-00121,69,40706422,5,4.4,0.0,369425.0,1.0,0,0,0,0,0,0,0,1,0,0.16666666666666666,0.0,581520.3142857143,0,1
UMKM-00122,86,26222396,2,4.6,0.0,319519.0,1.0,1,0,0,0,0,0,0,1,0,0.06666666666666667,0.0,301406.8505747126,0,1
UMKM-00123,90,32256552,17,2.2,0.0,180708.0,1.0,0,1,0,0,0,1,0,0,0,0.5666666666666667,0.0,354467.6043956044,0,0
UMKM-00125,41,25938881,17,2.1,5.0,50819.0,0.0,0,0,0,0,0,1,0,0,0,0.5666666666666667,0.11904761904761904,617592.4047619047,0,1
UMKM-00126,86,28299045,22,4.1,0.0,126992.0,0.0,0,0,0,0,0,0,0,0,1,0.7333333333333333,0.0,325276.3793103448,0,1
UMKM-00128,100,36353386,5,4.1,0.0,443999.0,0.0,0,0,0,0,0,0,0,0,1,0.16666666666666666,0.0,359934.51485148515,0,1
UMKM-00129,65,44903390,25,2.8,2.0,494214.0,0.0,0,0,0,0,0,0,1,0,0,0.8333333333333334,0.030303030303030304,680354.3939393939,0,1
UMKM-00131,100,18706306,23,4.0,2.0,341312.0,0.0,0,0,0,0,0,0,0,0,1,0.7666666666666667,0.019801980198019802,185210.9504950495,0,1
UMKM-00132,18,9776510,14,2.5,5.0,205336.0,1.0,0,0,0,0,0,0,1,0,0,0.4666666666666667,0.2631578947368421,514553.15789473685,0,1
UMKM-00134,102,35239091,31,2.1,0.0,411580.0,0.0,0,0,0,0,0,0,0,0,1,1.0333333333333334,0.0,342127.0970873786,0,1
UMKM-00135,13,25207963,11,4.9,5.0,306928.0,0.0,0,0,0,0,0,1,0,0,0,0.36666666666666664,0.35714285714285715,1800568.7857142857,0,1
UMKM-00136,20,25188041,4,4.1,2.0,257317.0,0.0,0,0,0,0,0,0,0,1,0,0.13333333333333333,0.09523809523809523,1199430.5238095238,0,1
UMKM-00137,69,9828325,6,5.0,0.0,128598.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0.0,140404.64285714287,0,1
UMKM-00138,34,7927416,21,1.2,0.0,490017.0,0.0,0,0,0,0,0,0,0,0,1,0.7,0.0,226497.6,0,1
UMKM-00139,44,39939633,26,2.1,2.0,125924.0,0.0,0,0,0,0,0,0,0,0,1,0.8666666666666667,0.044444444444444446,887547.4,0,1
UMKM-00140,37,46733958,14,4.0,0.0,228431.0,1.0,0,0,0,0,0,0,0,0,1,0.4666666666666667,0.0,1229841.0,0,1
UMKM-00144,6,35874739,25,2.0,0.0,342688.0,0.0,0,1,0,0,0,0,1,0,0,0.8333333333333334,0.0,5124962.714285715,0,0
UMKM-00145,61,11710632,22,3.0,5.0,311305.0,0.0,1,0,1,0,0,1,0,0,0,0.7333333333333333,0.08064516129032258,188881.16129032258,0,1
UMKM-00146,100,28730519,12,4.1,2.0,332967.0,0.0,0,0,0,0,0,1,0,0,0,0.4,0.019801980198019802,284460.58415841585,0,1
UMKM-00147,21,31253569,25,2.4,0.0,230900.0,4.0,1,1,0,0,0,0,0,0,0,0.8333333333333334,0.0,1420616.7727272727,0,0
UMKM-00148,107,22452647,2,1.0,2.0,416699.0,3.0,1,0,0,0,0,0,0,0,0,0.06666666666666667,0.018518518518518517,207894.87962962964,0,1
UMKM-00149,48,32938643,28,3.2,5.0,329122.0,0.0,1,0,0,0,0,0,0,0,1,0.9333333333333333,0.10204081632653061,672217.2040816327,0,1
UMKM-00150,60,24831594,1,3.0,0.0,209532.0,1.0,0,0,1,0,0,0,0,0,0,0.03333333333333333,0.0,407075.31147540984,0,1
UMKM-00151,43,6119641,27,4.0,2.0,487327.0,4.0,0,0,0,0,0,1,0,0,0,0.9,0.045454545454545456,139082.75,0,1
UMKM-00152,10,40308102,22,2.8,0.0,446540.0,2.0,1,0,0,0,0,0,1,0,0,0.7333333333333333,0.0,3664372.909090909,0,1
UMKM-00154,54,14224541,5,4.4,0.0,498794.0,0.0,0,0,0,0,0,0,1,0,0,0.16666666666666666,0.0,258628.0181818182,0,1
UMKM-00155,48,43857257,10,3.1,0.0,172418.0,0.0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,895046.0612244898,0,1
UMKM-00158,32,19699008,16,2.1,15.0,417211.0,1.0,0,0,0,0,0,1,0,0,0,0.5333333333333333,0.45454545454545453,596939.6363636364,1,1
UMKM-00159,22,13750721,2,4.6,0.0,187158.0,0.0,0,0,0,0,0,0,0,1,0,0.06666666666666667,0.0,597857.4347826086,0,1
UMKM-00162,119,30159511,21,3.0,2.0,68894.0,0.0,0,0,1,0,0,0,1,0,0,0.7,0.016666666666666666,251329.25833333333,0,1
UMKM-00163,4,45432707,28,1.2,0.0,242185.0,0.0,1,0,0,0,0,0,0,0,0,0.9333333333333333,0.0,9086541.4,0,1
UMKM-00164,54,17646014,28,2.5,0.0,54687.0,1.0,0,1,0,0,0,0,0,0,1,0.9333333333333333,0.0,320836.61818181816,0,0
UMKM-00165,36,47233995,4,4.8,0.0,446103.0,0.0,0,0,0,0,0,1,0,0,0,0.13333333333333333,0.0,1276594.4594594594,0,1
UMKM-00166,34,44238165,9,4.9,2.0,184115.0,0.0,0,0,0,0,0,1,0,0,0,0.3,0.05714285714285714,1263947.5714285714,0,1
UMKM-00167,91,17862611,9,1.8,2.0,461231.0,0.0,0,0,0,0,0,0,0,1,0,0.3,0.021739130434782608,194158.8152173913,0,1
UMKM-00168,71,49770129,8,1.6,0.0,329933.0,4.0,1,0,0,0,0,0,0,0,1,0.26666666666666666,0.0,691251.7916666666,0,1
UMKM-00169,114,23840605,20,2.4,0.0,106784.0,2.0,1,0,0,0,0,0,1,0,0,0.6666666666666666,0.0,207309.60869565216,0,1
UMKM-00170,99,9061792,12,3.0,0.0,318259.0,0.0,1,0,1,0,0,1,0,0,0,0.4,0.0,90617.92,0,1
UMKM-00171,112,25653591,9,4.0,30.0,78821.0,3.0,0,0,0,0,0,1,0,0,0,0.3,0.26548672566371684,227022.92920353982,1,1
UMKM-00173,41,45641994,10,4.1,0.0,429321.0,0.0,0,1,0,0,0,0,0,0,1,0.3333333333333333,0.0,1086714.142857143,0,0
UMKM-00174,31,4235863,3,4.0,0.0,234714.0,3.0,1,0,0,0,0,1,0,0,0,0.1,0.0,132370.71875,0,1
UMKM-00175,112,11783675,30,3.3,0.0,241852.0,1.0,1,0,0,0,0,0,1,0,0,1.0,0.0,104280.30973451327,0,1
UMKM-00182,101,48366565,7,4.6,2.0,252112.0,4.0,0,0,0,0,0,0,0,0,1,0.23333333333333334,0.0196078431372549,474182.00980392157,0,1
UMKM-00183,21,4275072,31,3.5,0.0,171535.0,1.0,0,0,0,0,0,1,0,0,0,1.0333333333333334,0.0,194321.45454545456,0,1
UMKM-00185,74,22595058,7,3.9,0.0,142384.0,0.0,1,1,0,0,0,1,0,0,0,0.23333333333333334,0.0,301267.44,0,0
UMKM-00186,28,9676514,13,2.3,2.0,244895.0,3.0,1,0,0,0,0,1,0,0,0,0.43333333333333335,0.06896551724137931,333672.8965517241,0,1
UMKM-00188,84,29482724,7,1.3,0.0,162453.0,0.0,0,0,0,0,0,0,0,1,0,0.23333333333333334,0.0,346855.5764705882,0,1
UMKM-00190,60,45054069,6,3.0,2.0,338664.0,4.0,2,0,1,0,0,0,1,0,0,0.2,0.03278688524590164,738591.2950819673,0,1
UMKM-00191,6,3226217,12,2.9,0.0,326977.0,2.0,1,0,0,0,0,0,0,0,1,0.4,0.0,460888.14285714284,0,1
UMKM-00192,34,35187163,20,3.0,2.0,232419.0,0.0,0,0,1,0,0,0,1,0,0,0.6666666666666666,0.05714285714285714,1005347.5142857142,0,1
UMKM-00193,67,43304796,31,4.7,2.0,111475.0,0.0,0,0,0,0,0,0,1,0,0,1.0333333333333334,0.029411764705882353,636835.2352941176,0,1
UMKM-00194,70,21038018,10,4.0,5.0,320287.0,2.0,0,0,0,0,0,1,0,0,0,0.3333333333333333,0.07042253521126761,296310.11267605633,0,1
UMKM-00195,84,44964403,13,2.2,0.0,401616.0,3.0,2,0,0,0,0,0,0,0,1,0.43333333333333335,0.0,528992.9764705882,0,1
UMKM-00196,67,9905865,10,3.0,5.0,414276.0,0.0,1,0,1,0,1,0,1,0,0,0.3333333333333333,0.07352941176470588,145674.48529411765,0,1
UMKM-00197,4,39145210,1,4.6,2.0,137005.0,1.0,0,0,0,0,0,0,0,0,1,0.03333333333333333,0.4,7829042.0,0,1
UMKM-00200,92,23174126,16,2.9,0.0,415185.0,0.0,0,0,0,0,0,0,0,0,1,0.5333333333333333,0.0,249184.1505376344,0,1
UMKM-00201,42,10869865,13,1.5,2.0,132159.0,0.0,0,0,0,0,0,0,0,0,1,0.43333333333333335,0.046511627906976744,252787.55813953487,0,1
UMKM-00202,14,28217757,24,1.2,0.0,173796.0,4.0,1,0,0,0,0,1,0,0,0,0.8,0.0,1881183.8,0,1
UMKM-00203,33,12287967,26,3.0,2.0,389310.0,0.0,0,0,1,0,0,0,0,0,0,0.8666666666666667,0.058823529411764705,361410.79411764705,0,1
UMKM-00204,54,28952543,7,3.0,2.0,0.0,0.0,0,0,1,1,0,0,0,0,1,0.23333333333333334,0.03636363636363636,526409.8727272727,0,0
UMKM-00205,60,4561497,16,3.0,0.0,208312.0,4.0,1,0,1,0,0,1,0,0,0,0.5333333333333333,0.0,74778.6393442623,0,1
UMKM-00206,59,25096114,4,4.4,2.0,151542.0,0.0,0,0,0,0,0,0,0,0,1,0.13333333333333333,0.03333333333333333,418268.56666666665,0,1
UMKM-00207,45,3870524,11,3.1,2.0,50553.0,0.0,0,0,0,0,0,0,0,0,1,0.36666666666666664,0.043478260869565216,84141.82608695653,0,1
UMKM-00209,30,33848720,17,1.5,0.0,158381.0,2.0,0,0,0,0,0,0,0,1,0,0.5666666666666667,0.0,1091894.1935483871,0,1
UMKM-00210,18,38421725,25,4.6,0.0,325756.0,0.0,0,0,0,0,0,1,0,0,0,0.8333333333333334,0.0,2022196.0526315789,0,1
UMKM-00211,112,40661943,30,3.4,2.0,388817.0,4.0,1,0,0,0,0,1,0,0,0,1.0,0.017699115044247787,359840.203539823,0,1
UMKM-00215,51,37325466,14,3.0,0.0,221178.0,0.0,1,0,1,0,0,0,0,0,0,0.4666666666666667,0.0,717797.4230769231,0,1
UMKM-00217,60,1671253,25,1.7,5.0,422327.0,0.0,0,0,0,0,0,0,1,0,0,0.8333333333333334,0.08196721311475409,27397.590163934427,0,1
UMKM-00218,23,27719009,11,3.8,2.0,236218.0,0.0,0,0,0,0,0,0,1,0,0,0.36666666666666664,0.08333333333333333,1154958.7083333333,0,1
UMKM-00220,6,24465520,13,1.8,5.0,196470.0,0.0,1,0,0,0,0,0,1,0,0,0.43333333333333335,0.7142857142857143,3495074.285714286,0,1
UMKM-00221,95,7911616,0,2.4,2.0,307771.0,0.0,1,0,0,0,0,1,0,0,0,0.0,0.020833333333333332,82412.66666666667,0,1
UMKM-00222,22,35560584,16,3.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0.5333333333333333,0.0,1546112.347826087,0,0
UMKM-00224,119,44660242,28,4.8,2.0,438777.0,3.0,0,0,0,0,0,1,0,0,0,0.9333333333333333,0.016666666666666666,372168.68333333335,0,1
UMKM-00226,18,37816763,30,1.3,0.0,235626.0,0.0,0,1,0,0,0,0,0,1,0,1.0,0.0,1990355.9473684211,0,0
UMKM-00227,15,48727148,7,4.3,0.0,392222.0,0.0,0,0,0,0,0,1,0,0,0,0.23333333333333334,0.0,3045446.75,0,1
UMKM-00228,4,21602307,29,2.8,0.0,386371.0,1.0,2,0,0,0,0,0,1,0,0,0.9666666666666667,0.0,4320461.4,0,1
UMKM-00229,104,6015551,12,4.5,0.0,391134.0,0.0,0,0,0,0,0,0,0,1,0,0.4,0.0,57290.961904761905,0,1
UMKM-00230,72,25803477,15,1.4,0.0,398178.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0.0,353472.2876712329,0,1
UMKM-00231,95,49294603,1,4.3,0.0,135567.0,0.0,0,0,0,0,0,0,0,0,1,0.03333333333333333,0.0,513485.4479166667,0,1
UMKM-00233,82,39041288,17,2.3,2.0,380546.0,1.0,0,0,0,0,0,1,0,0,0,0.5666666666666667,0.024096385542168676,470376.9638554217,0,1
UMKM-00236,52,2208957,18,2.8,2.0,72291.0,2.0,1,0,0,0,0,0,0,0,1,0.6,0.03773584905660377,41678.43396226415,0,1
UMKM-00237,70,40786734,12,4.3,2.0,340641.0,0.0,0,0,0,0,0,0,1,0,0,0.4,0.028169014084507043,574461.0422535212,0,1
UMKM-00238,16,43719684,3,4.1,0.0,427279.0,3.0,0,0,0,0,0,0,0,0,0,0.1,0.0,2571746.117647059,0,1
UMKM-00239,114,29529536,18,3.0,30.0,344113.0,4.0,2,0,1,0,0,0,0,0,0,0.6,0.2608695652173913,256778.57391304348,1,1
UMKM-00240,64,49785397,24,1.6,0.0,289334.0,4.0,1,0,0,0,0,1,0,0,0,0.8,0.0,765929.1846153847,0,1
UMKM-00242,39,17780412,30,4.5,0.0,459893.0,1.0,0,0,0,0,0,1,0,0,0,1.0,0.0,444510.3,0,1
UMKM-00244,16,23907093,3,3.2,2.0,103312.0,0.0,0,0,0,0,0,0,1,0,0,0.1,0.11764705882352941,1406299.5882352942,0,1
UMKM-00246,74,8142727,6,2.9,0.0,58267.0,0.0,0,0,0,0,0,0,1,0,0,0.2,0.0,108569.69333333333,0,1
UMKM-00247,55,13067196,15,1.5,2.0,89812.0,0.0,0,0,0,0,0,1,0,0,0,0.5,0.03571428571428571,233342.7857142857,0,1
UMKM-00248,94,37158112,4,1.3,2.0,446991.0,0.0,0,0,0,0,0,0,1,0,0,0.13333333333333333,0.021052631578947368,391138.0210526316,0,1
UMKM-00249,50,45610333,22,1.8,0.0,437706.0,0.0,0,0,0,0,0,0,0,0,1,0.7333333333333333,0.0,894320.2549019608,0,1
UMKM-00251,90,28950611,31,2.1,0.0,256874.0,0.0,0,1,0,0,0,0,1,0,0,1.0333333333333334,0.0,318138.5824175824,0,0
UMKM-00252,27,18636027,23,3.0,0.0,244150.0,0.0,0,0,1,0,0,0,0,0,1,0.7666666666666667,0.0,665572.3928571428,0,1
UMKM-00253,39,21841553,24,3.0,2.0,75875.0,1.0,0,0,1,0,0,0,0,0,1,0.8,0.05,546038.825,0,1
UMKM-00255,14,45607689,27,1.8,5.0,306679.0,2.0,0,0,0,0,0,0,0,0,1,0.9,0.3333333333333333,3040512.6,0,1
UMKM-00256,12,4636119,18,4.5,0.0,359733.0,2.0,0,0,0,0,0,1,0,0,0,0.6,0.0,356624.53846153844,0,1
UMKM-00257,32,21334211,6,3.0,0.0,315678.0,0.0,1,0,1,0,0,0,0,0,0,0.2,0.0,646491.2424242424,0,1
UMKM-00260,90,25370764,16,1.9,0.0,111807.0,1.0,0,0,0,0,0,1,0,0,0,0.5333333333333333,0.0,278799.6043956044,0,1
UMKM-00261,103,27947160,1,1.2,0.0,363814.0,3.0,2,0,0,0,0,1,0,0,0,0.03333333333333333,0.0,268722.6923076923,0,1
UMKM-00262,117,26790412,15,3.0,0.0,387609.0,1.0,0,0,0,0,0,1,0,0,0,0.5,0.0,227037.38983050847,0,1
UMKM-00264,53,17105466,17,4.6,5.0,223962.0,0.0,0,0,0,0,0,1,0,0,0,0.5666666666666667,0.09259259259259259,316767.8888888889,0,1
UMKM-00266,62,5070081,0,2.7,2.0,222401.0,4.0,2,0,0,0,0,0,0,0,1,0.0,0.031746031746031744,80477.47619047618,0,1
